"score" "frequency" "penalty" "score_prev" "duration" "trial" "item" "subject"
"5" 6.82871207164168 1.72088177378983 1 0.186730899393697 -0.0950363475971265 -252.023572819514 "luizen" "s1"
"10" 6.80128303447162 3.17731557636749 1 0.357341998788807 -0.285600738622787 -241.023572819514 "klassen" "s1"
"12" 7.21303165983487 -0.568407776722973 1 -0.165751166285003 -0.182726380873406 -227.023572819514 "schappen" "s1"
"16" 7.01660968389422 0.72399049862979 0 0.120622519221008 0.328913575185143 -218.023572819514 "klimaat" "s1"
"23" 7.04403289727469 -3.84555250971515 0 0.0456077368609575 -0.0024435607692963 -202.023572819514 "snurker" "s1"
"26" 6.98193467715639 1.7910212152476 1 0.402198003209567 -0.0783847140046863 -197.023572819514 "rapen" "s1"
"28" 7.06219163228656 -1.59426071110865 0 0.037104284261317 0.556199937347183 -192.023572819514 "vijandschap" "s1"
"31" 6.84906628263346 7.63338691725191 1 -0.391251048051943 -0.299237313572337 -184.023572819514 "mijnen" "s1"
"34" 6.74523634948436 2.344762896138 0 -0.129794545006413 -0.329437053435966 -167.023572819514 "watt" "s1"
"38" 6.74993119378857 1.86818029579422 1 -0.146071608338553 -0.133063743186367 -156.023572819514 "plagen" "s1"
"40" 7.4500795698075 3.34775758070259 0 0.332866349640947 -0.0728952217199064 -147.023572819514 "camera" "s1"
"43" 7.20117088328168 -2.45925814859526 0 0.204224056841207 0.114583331183764 -139.023572819514 "selderie" "s1"
"50" 7.11882624906208 -2.23611459728105 0 0.00939688411077721 0.401887117268253 -130.023572819514 "leegheid" "s1"
"57" 6.94119005506837 -2.74694022104704 0 -0.0615419407224227 0.291595812177944 -104.023572819514 "koelheid" "s1"
"NA" NA NA NA NA NA NA NA NA
"69" 6.93731408122368 -3.44008740160699 0 -0.000307647278402712 0.437565371927043 -80.0235728195142 "magerheid" "s1"
"80" 6.88857245956536 -4.5386996902751 0 -0.0382525788425232 0.448458725834923 -58.0235728195142 "karigheid" "s1"
"83" 7.01481435127554 -3.84555250971515 0 -0.0970372737369525 0.396195582268463 -47.0235728195142 "driestheid" "s1"
"84" 7.43602781635185 -3.1524053291552 0 -0.0136947280608632 0.0665493107176536 -46.0235728195142 "zwijger" "s1"
"85" 6.86901445066571 -4.5386996902751 0 0.407518737015447 0.401887117268253 -45.0235728195142 "heelheid" "s1"
"87" 6.97354301952014 3.67386870795905 0 -0.113778186617843 -0.283345946235706 -40.0235728195142 "sla" "s1"
"94" 6.94985645500077 -4.5386996902751 0 -0.0549660598162625 -0.121502920785287 -22.0235728195142 "knager" "s1"
"96" 6.76849321164863 -1.24286282427077 0 -0.160534670366113 0.0649607480325134 -14.0235728195142 "kwekerij" "s1"
"99" 7.10824413973154 1.1346235768964 1 -0.325320966095543 0.0869742155696933 -11.0235728195142 "struiken" "s1"
"100" 6.78558764500793 -1.49417725255167 0 0.0797350603951372 0.297912952579213 -10.0235728195142 "ridderschap" "s1"
"101" 6.56385552653213 2.31248523721865 0 -0.242921434328473 0.264619224479743 -9.02357281951419 "apparaat" "s1"
"104" 6.85856503479136 1.64131696337748 1 -0.150182611045073 -0.150659505076747 -0.023572819514186 "kalkoenen" "s1"
"106" 6.80572255341699 2.28567397976799 1 0.146215230499977 -0.188855102814776 3.97642718048581 "lonen" "s1"
"108" 6.77078942390898 0.784310288863313 1 -0.156380977997413 -0.232841250999027 7.97642718048581 "kuilen" "s1"
"111" 6.77992190747225 2.08003929324212 0 -0.346400481886593 0.0424517591385936 12.9764271804858 "studio" "s1"
"112" 6.87832646829133 -2.23611459728105 0 -0.248587171864153 0.367241619905443 13.9764271804858 "lenigheid" "s1"
"119" 6.7428806357919 -1.97375033281356 0 -0.374356559153183 0.147324350902863 25.9764271804858 "fokkerij" "s1"
"124" 6.83625927727707 5.03600597892383 0 0.150798890167627 -0.535626091636566 43.9764271804858 "hen" "s1"
"127" 7.3304052118444 -2.74694022104704 0 -0.0200038972541225 0.378923995759803 50.9764271804858 "duisterheid" "s1"
"128" 6.87005341179813 2.4497134917245 0 0.0259405787965372 0.0026455087381736 52.9764271804858 "lijf" "s1"
"129" 6.69950034016168 -3.44008740160699 0 0.175640212699537 -0.504239777815896 54.9764271804858 "kade" "s1"
"133" 7.24351297466548 1.09251209154627 1 0.0472997846419867 -0.0282847919531868 65.9764271804858 "vorken" "s1"
"138" 6.76041469108343 3.28734432324387 1 -0.185825797097983 0.209755968865593 77.9764271804858 "rivieren" "s1"
"146" 6.68586094706836 0.998634576743441 0 0.370277196083547 -0.106293502121757 94.9764271804858 "zijde" "s1"
"155" 6.64118216974059 3.45018256303413 0 0.267904189437517 -0.0566052687406469 112.976427180486 "lunch" "s1"
"156" 6.52649485957079 -3.1524053291552 0 0.534691513021667 0.447374714888664 116.976427180486 "donkerheid" "s1"
"167" 6.80793494369993 0.937763861656416 0 -0.0549660598162625 0.347062893690823 146.976427180486 "broederschap" "s1"
"170" 6.90173720665657 0.0462677883954772 1 0.156877936244017 0.0617760319649934 153.976427180486 "volkeren" "s1"
"174" 6.8351845861473 -1.40320547434595 0 -0.116761779084733 0.215242951081853 163.976427180486 "radijs" "s1"
"176" 7.14519613499717 4.71191852819966 0 -0.042867261697193 0.0838589482527432 165.976427180486 "soort" "s1"
"179" 6.73933662735717 0.161780675517321 0 0.500897378500607 0.190310911746374 183.976427180486 "muiterij" "s1"
"183" 6.60800062529609 -2.23611459728105 0 -0.153276992059823 -0.418165169044657 189.976427180486 "nasi" "s1"
"187" 6.76041469108343 -0.901113530548709 0 0.217145988258137 -0.294671095592757 201.976427180486 "armoe" "s1"
"188" 6.65286302935335 1.9819214372836 0 -0.268094388252972 -0.176634991480006 202.976427180486 "bodem" "s1"
"190" 6.87523208727658 -3.44008740160699 0 -0.172047094741813 0.216610005293384 207.976427180486 "dromerij" "s1"
"195" 6.65672652417839 -2.05379304048709 0 0.107178267691737 -0.415591165049476 217.976427180486 "porie" "s1"
"196" 6.67708346124714 -1.70548634621888 0 -0.176266510284523 -0.583112757902557 219.976427180486 "woede" "s1"
"202" 6.88959130835447 -3.1524053291552 0 0.0120273108795574 0.511438611479243 243.976427180486 "schuchterheid" "s1"
"207" 7.19967834569117 -0.379816606915424 0 -0.231685361061543 0.0227466880592635 257.976427180486 "twijg" "s1"
"208" 6.94985645500077 2.08137351625526 0 0.228493627755667 0.246221859340033 259.976427180486 "olifant" "s1"
"215" 6.71417052990947 1.94287743900134 0 -0.149153274875963 -0.192961884767437 267.976427180486 "zeep" "s1"
"220" 6.84374994900622 0.779420303569121 0 0.0590646262215673 0.217975193218724 274.976427180486 "regio" "s1"
"221" 7.04664727784876 -0.0843523940215878 0 0.0951637058682069 0.194509658292723 281.976427180486 "gracht" "s1"
"222" 7.24208235925696 -3.1524053291552 0 0.0181381985123572 -0.336537674985546 282.976427180486 "etui" "s1"
"223" 6.69084227741856 1.07807140739148 0 0.213573279920557 -0.113869295930217 283.976427180486 "riool" "s1"
"224" 6.91968384984741 -0.304593185677835 0 -0.337666801917843 0.0553760101195238 284.976427180486 "sardien" "s1"
